"","GENE_SYMBOL","p_value","odds_ratio","p_value_adj"
"153","ACTR8",0.38914945626355,0.318510228240838,1
"154","ACTRT2",0.500564971751412,0,1
"155","ACVR1",0.38914945626355,0.318510228240838,1
"156","ACVR1B",1,0,1
"157","ACVR1C",1,1.31381951940108,1
"158","ACVR2A",1,0,1
"159","ACVRL1",0.433333333333333,Inf,1
"160","ACY1",0.573758036236119,2.70412427824264,1
"161","ADA",0.500564971751412,0,1
"162","ADA2",0.57673646578141,2.67317690398778,1
"163","ADAD1",1,0,1
"164","ADAD2",0.433333333333333,Inf,1
"165","ADAM10",0.500564971751412,0,1
"166","ADAM11",1,1.32043730154981,1
"167","ADAM12",1,0,1
"168","ADAM15",1,1.31381951940108,1
"169","ADAM17",0.433333333333333,Inf,1
"170","ADAM18",1,0,1
"171","ADAM19",0.500564971751412,0,1
"172","ADAM2",1,0,1
"173","ADAM20P1",1,1.32007433111754,1
"174","ADAM21",1,0.644595148149946,1
"175","ADAM21P1",0.694321871299426,0.638230361509328,1
"176","ADAM23",0.63228410008071,0.427597555272113,1
"177","ADAM28",1,0,1
"178","ADAM29",1,0.77549144214432,1
"179","ADAM30",1,0,1
"180","ADAM33",0.500564971751412,0,1
"181","ADAM7",0.500564971751412,0,1
"182","ADAM8",1,1.32013338503683,1
"183","ADAMTS1",1,0,1
"184","ADAMTS10",1,0,1
"185","ADAMTS12",1,0,1
"186","ADAMTS13",0.500564971751412,0,1
"187","ADAMTS14",0.255056179775281,0,1
"188","ADAMTS15",0.433333333333333,Inf,1
"189","ADAMTS17",0.63228410008071,0.427597555272113,1
"190","ADAMTS18",0.129990724760194,0,1
"191","ADAMTS19",0.500564971751412,0,1
"192","ADAMTS2",1,1.0938625426131,1
"193","ADAMTS20",1,0,1
"194","ADAMTS4",0.255056179775281,0,1
"195","ADAMTS5",1,0,1
"196","ADAMTS6",0.433333333333333,Inf,1
"197","ADAMTS7",0.243247253036595,3.38185668329753,1
"198","ADAMTS7P1",0.255056179775281,0,1
"199","ADAMTS7P3",1,1.32043730154981,1
"200","ADAMTS8",1,0,1
"201","ADAMTS9",0.255056179775281,0,1
"202","ADAMTSL1",0.405322059786785,2.68789027334791,1
"203","ADAMTSL2",0.433333333333333,Inf,1
"204","ADAMTSL3",1,1.31689955794201,1
"205","ADAMTSL4",0.306146558461532,0.362711552843103,1
"206","ADAMTSL5",1,0,1
"207","ADAP1",0.0329315674749769,0.114450610833269,1
"208","ADAR",1,0,1
"209","ADARB1",1,1.31381951940108,1
"210","ADARB2",0.137493964881966,0.204790033990877,1
"211","ADAT3",1,0,1
"212","ADCK1",1,0.634523665539318,1
"213","ADCK5",0.500564971751412,0,1
"214","ADCY1",1,0,1
"215","ADCY10",0.500564971751412,0,1
"216","ADCY10P1",1,1.31381951940108,1
"217","ADCY2",1,0,1
"218","ADCY3",1,1.31381951940108,1
"219","ADCY4",0.133833287052699,0.200279081184364,1
"220","ADCY5",1,1.31381951940108,1
"221","ADCY6",0.500564971751412,0,1
"222","ADCY7",1,1.31381951940108,1
"223","ADCY8",0.500564971751412,0,1
"224","ADCY9",0.500564971751412,0,1
"225","ADCYAP1",0.630252544820542,0.42475024515409,1
"226","ADCYAP1R1",0.433333333333333,Inf,1
"227","ADD2",0.500564971751412,0,1
"228","ADD3",1,1.31381951940108,1
"229","ADGB",0.500564971751412,0,1
"230","ADGRA1",0.63228410008071,0.427597555272113,1
"231","ADGRA2",0.312399469315393,4.1036705240415,1
"232","ADGRA3",1,0,1
"233","ADGRB1",0.38914945626355,0.318510228240838,1
"234","ADGRB2",0.0694073747765023,0,1
"235","ADGRB3",1,1.31381951940108,1
"236","ADGRD1",0.433333333333333,Inf,1
"237","ADGRD2",1,0.868549742946098,1
"238","ADGRE1",1,0,1
"239","ADGRE2",0.652735649793662,1.99868115647313,1
"240","ADGRE3",0.433333333333333,Inf,1
"241","ADGRE4P",0.433333333333333,Inf,1
"242","ADGRE5",0.18361581920904,Inf,1
"243","ADGRF2",1,0,1
"244","ADGRF3",1,0,1
"245","ADGRF4",1,0,1
"246","ADGRF5",0.38914945626355,0.318510228240838,1
"247","ADGRG2",0.433333333333333,Inf,1
"248","ADGRG4",1,0.647765169260659,1
"249","ADGRG6",1,0.77549144214432,1
"250","ADGRG7",1,0,1
"251","ADGRL1",1,1.31792783685994,1
"252","ADGRL3",0.142165308839756,0.210497471535796,1
"253","ADGRL4",1,0,1
"254","ADGRV1",1,0.779016113660357,1
"255","ADH1A",0.433333333333333,Inf,1
"256","ADH1B",1,0,1
"257","ADH1C",0.500564971751412,0,1
"258","ADH4",0.433333333333333,Inf,1
"259","ADHFE1",0.63228410008071,0.427597555272113,1
"260","ADI1",1,0.647765169260659,1
"261","ADIPOR1",0.433333333333333,Inf,1
"262","ADIRF",1,0,1
